"date_onset","detection_probability","state","count"
2020-04-26,1,"SA",0
2020-04-26,1,"TAS",0
2020-04-26,1,"VIC",3
2020-04-26,1,"WA",0
2020-04-27,1,"ACT",0
2020-04-27,1,"NSW",1
2020-04-27,1,"NT",0
2020-04-27,1,"QLD",0
2020-04-27,1,"SA",0
2020-04-27,1,"TAS",0
2020-04-27,1,"VIC",11
2020-04-27,1,"WA",0
2020-04-28,1,"ACT",0
2020-04-28,1,"NSW",2
2020-04-28,1,"NT",0
2020-04-28,1,"QLD",0
2020-04-28,1,"SA",0
2020-04-28,1,"TAS",0
2020-04-28,1,"VIC",6
2020-04-28,1,"WA",0
2020-04-29,1,"ACT",0
2020-04-29,1,"NSW",4
2020-04-29,1,"NT",0
2020-04-29,1,"QLD",1
2020-04-29,1,"SA",0
2020-04-29,1,"TAS",0
2020-04-29,1,"VIC",8
2020-04-29,1,"WA",0
2020-04-30,1,"ACT",0
2020-04-30,1,"NSW",4
2020-04-30,1,"NT",0
2020-04-30,1,"QLD",0
2020-04-30,1,"SA",0
2020-04-30,1,"TAS",0
2020-04-30,1,"VIC",10
2020-04-30,1,"WA",0
2020-05-01,1,"ACT",0
2020-05-01,1,"NSW",5
2020-05-01,1,"NT",0
2020-05-01,1,"QLD",0
2020-05-01,1,"SA",0
2020-05-01,1,"TAS",0
2020-05-01,1,"VIC",15
2020-05-01,1,"WA",0
2020-05-02,1,"ACT",0
2020-05-02,1,"NSW",2
2020-05-02,1,"NT",0
2020-05-02,1,"QLD",1
2020-05-02,1,"SA",0
2020-05-02,1,"TAS",0
2020-05-02,1,"VIC",14
2020-05-02,1,"WA",0
2020-05-03,1,"ACT",0
2020-05-03,1,"NSW",0
