"type","date","bottom","top","lower","upper","median","mean","std","prob_control","mean_window","sd_window","confidence","date_onset","state","date_of_analysis"
"nowcast",2020-03-07,0.294825337018599,1.06962506576362,0.42933588356044,0.737848240267019,0.643027731651067,0.678406942339547,0.252829022245814,0.894784353059178,3.03410230692076,2.12481446596178,0.999673365742649,2020-03-12,"SA","2020-04-26"
"nowcast",2020-03-08,0.271855981781368,0.96066745284072,0.441786406465174,0.715126862380579,0.601922105904051,0.629493652508057,0.221233224039609,0.941123370110331,3.03410230692076,2.12481446596178,0.999580307597557,2020-03-13,"SA","2020-04-26"
"nowcast",2020-03-09,0.272676393765065,0.891711597478767,0.435061506686533,0.679206716898785,0.584293953639203,0.603535811218004,0.196744167344996,0.963490471414243,3.03410230692076,2.12481446596178,0.999460913020707,2020-03-14,"SA","2020-04-26"
"nowcast",2020-03-10,0.306149820969585,0.864636530048023,0.434891975149992,0.65542224134921,0.571797252163491,0.592785459131091,0.178276988447675,0.974523570712136,3.03410230692076,2.12481446596178,0.99930779300902,2020-03-15,"SA","2020-04-26"
"nowcast",2020-03-11,0.330734713953919,0.836858580231214,0.440029557561874,0.639981053245178,0.56433508204115,0.579970025095951,0.162314798009335,0.983650952858576,3.03410230692076,2.12481446596178,0.999111509562713,2020-03-16,"SA","2020-04-26"
"nowcast",2020-03-12,0.309536818589405,0.781057615637289,0.433253324354201,0.613800182257114,0.542093658817634,0.554034294396614,0.145674652365853,0.993681043129388,3.03410230692076,2.12481446596178,0.998860016687018,2020-03-17,"SA","2020-04-26"
"nowcast",2020-03-13,0.31945125257144,0.730592015252588,0.428748875664659,0.586950018712064,0.522835458566439,0.530681610768395,0.127284941478761,0.998196392785571,3.03607214428858,2.12466025126149,0.998537952504799,2020-03-18,"SA","2020-04-26"
"nowcast",2020-03-14,0.327863273277868,0.705806050655972,0.423878914913558,0.571739285449218,0.50412994211936,0.512510071272282,0.11772513270415,0.998296593186373,3.03607214428858,2.12466025126149,0.998125744297622,2020-03-19,"SA","2020-04-26"
"nowcast",2020-03-15,0.304870315535613,0.644865752544276,0.394491016699961,0.52737245090488,0.47286873067367,0.479452991261209,0.105358835849017,0.999899799599198,3.03607214428858,2.12466025126149,0.997598479132315,2020-03-20,"SA","2020-04-26"
"nowcast",2020-03-16,0.254432705048771,0.560944492267826,0.352944756688212,0.473457604888831,0.414028518988615,0.417363697723689,0.0939072344506473,1,3.03607214428858,2.12466025126149,0.996924481661027,2020-03-21,"SA","2020-04-26"
